HORIZONTAL;;;;;;;;VERTICAL;;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);;
12465;12571;;;105;INFINITY;80;;22729;22871;141;-2000;-;;
12571;12597;;;26;TRANS;;;22871;23046;175;INFINITY;0.000;;
12597;12740;;;143;-295;50;;23046;23136;90;-2000;-;;
12740;12766;;;26;TRANS;;;23136;23206;70;INFINITY;-4.500;;
12766;12984;;;218;INFINITY;80;;23206;23296;90;2000;-;;
12984;13004;;;20;TRANS;;;23296;23686;390;INFINITY;0.000;;
13004;13034;;;30;1500;80;;23686;23723;37;-2000;-;;
13034;13054;;;20;TRANS;;;23723;24292;569;INFINITY;-1.864;;
13054;13090;;;36;INFINITY;80;;24292;24329;37;2000;-;;
13090;13110;;;20;TRANS;;;24329;24725;396;INFINITY;0.000;;
13110;13188;;;79;-1500;80;;24725;24797;72;2000;-;;
13188;13208;;;20;TRANS;;;24797;24965;167;INFINITY;3.623;;
13208;13300;;;92;INFINITY;80;;24965;25028;63;-5000;-;;
13300;13360;;;60;TRANS;;;25028;25213;185;INFINITY;2.356;;
13360;13440;;;80;70;35;;25213;25261;47;-2000;-;;
13440;13500;;;60;TRANS;;;25261;25396;135;INFINITY;0.000;;
13500;;;;156;INFINITY;80;;25396;25471;75;-2000;-;;
13517.0;13592.0;13406;3.3;;;;;25471;25493;23;INFINITY;-3.764;;
;13656;;;;;80;;25493;25563;69;2000;-;;
13656;13696;;;40;TRANS;;;25563;25711;148;INFINITY;-0.300;;
13696;13748;;;53;-195;50;;25711;25731;20;;-;;
13748;13788;;;40;TRANS;;;25731;25857;127;INFINITY;0.000;;
13788;13853;;;65;TRANS;;;25857;25881;24;;-;;
13853;14068;;;215;450;80;;25881;26056;175;INFINITY;1.182;;
14068;14133;;;65;TRANS;;;26056;26080;24;;-;;
14133;14164;;;30;INFINITY;80;;26080;26481;401;INFINITY;0.000;;
14164;14190;;;26;TRANS;;;26481;26603;123;-2000;-;;
14190;14215;;;26;1250;80;;26603;26673;69;INFINITY;-6.138;;
14215;14241;;;26;TRANS;;;26673;26796;123;2000;-;;
14241;14275;;;34;INFINITY;80;;26796;27076;280;INFINITY;0.000;;
14275;14307;;;32;TRANS;;;27076;27173;98;-2000;-;;
14307;14343;;;36;-1005;80;;27173;27226;53;INFINITY;-4.884;;
14343;14375;;;32;TRANS;;;27226;27306;79;2000;-;;
14375;;;;126;INFINITY;80;;27306;27370;64;INFINITY;-0.930;;
14393.0;14468.0;14282;3.4;;;;;27370;27417;46;5000;-;;
;14502;;;;;80;;27417;27691;274;INFINITY;0.000;;
14502;14548;;;46;TRANS;;;27691;27811;120;-2000;-;;
14548;14573;;;25;295;60;;27811;27866;55;INFINITY;-6.000;;
14573;14619;;;46;TRANS;;;27866;27986;120;2000;-;;
14619;14654;;;35;INFINITY;80;;27986;28111;125;INFINITY;0.000;;
14654;14674;;;20;TRANS;;;28111;28185;74;2000;-;;
14674;14759;;;85;-2000;80;;28185;28226;41;INFINITY;3.719;;
14759;14779;;;20;TRANS;;;28226;28301;74;-2000;-;;
14779;14932;;;153;INFINITY;80;;28301;28436;135;INFINITY;0.000;;
14932;14971;;;39;TRANS;;;28436;28507;71;-2000;-;;
14971;15093;;;122;-800;80;;28507;28547;40;INFINITY;-3.549;;
15093;15132;;;39;TRANS;;;28547;28615;68;2000;-;;
15132;15169;;;38;INFINITY;80;;28615;29721;1106;INFINITY;-0.142;;
15169;15192;;;23;TRANS;;;29721;29781;61;2000;-;;
15192;15373;;;181;-1500;80;;29781;29828;46;INFINITY;2.896;;
15373;15393;;;20;TRANS;;;29828;29886;58;-2000;-;;
15393;15632;;;238;INFINITY;80;;29886;30026;140;INFINITY;0.000;;
15632;15652;;;20;TRANS;;;30026;30100;74;-2000;-;;
15652;15681;;;30;505;55;;30100;30141;41;INFINITY;-3.719;;
15681;15701;;;20;TRANS;;;30141;30216;74;2000;-;;
15701;15733;;;32;TRANS;;;30216;30601;385;INFINITY;0.000;;
15733;15772;;;38;-250;50;;30601;30734;133;2000;-;;
15772;15804;;;32;TRANS;;;30734;30809;75;INFINITY;6.667;;
15804;15949;;;145;INFINITY;80;;30809;30976;167;-2500;-;;
15949;15981;;;32;TRANS;;;30976;31297;547;INFINITY;0.000;;
15981;16006;;;25;-250;50;;;;;;;;
16006;16038;;;32;TRANS;;;;;;;;;
16038;;;;98;INFINITY;80;;;;;;;;
16053.0;16128.0;15942;3.5;;;;;;;;;;;
;16135;;;;;80;;;;;;;;
16135;16187;;;52;TRANS;;;;;;;;;
16187;16256;;;69;147.23;50;;;;;;;;
16256;16308;;;52;TRANS;;;;;;;;;
16308;16328;;;20;TRANS;;;;;;;;;
16328;16457;;;129;-625;50;;;;;;;;
16457;16473;;;16;TRANS;;;;;;;;;
16473;16510;;;37;TRANS;;;;;;;;;
16510;16787;;;277;275;50;;;;;;;;
16787;16815;;;28;TRANS;;;;;;;;;
16815;17027;;;212;INFINITY;80;;;;;;;;
17027;17061;;;34;TRANS;;;;;;;;;
17061;17104;;;44;192.771;50;;;;;;;;
17104;17139;;;34;TRANS;;;;;;;;;
17139;;;;113;INFINITY;80;;;;;;;;
17153.0;17228.0;17042;IC4;;;;;;;;;;;
;17251;;;;;80;;;;;;;;
17251;17301;;;50;TRANS;;;;;;;;;
17301;17372;;;71;-75;35;;;;;;;;
17372;17422;;;50;TRANS;;;;;;;;;
17422;17595;;;173;INFINITY;80;;;;;;;;
17595;17615;;;20;TRANS;;;;;;;;;
17615;17653;;;39;505;50;;;;;;;;
17653;17673;;;20;TRANS;;;;;;;;;
17673;;;;1548;INFINITY;80;;;;;;;;
18548.0;18623.0;18437;4.2;;;;;;;;;;;
;19221;;;;;80;;;;;;;;
19221;19286;;;65;TRANS;;;;;;;;;
19286;19449;;;162;-505;80;;;;;;;;
19449;19514;;;65;TRANS;;;;;;;;;
19514;;;;306;INFINITY;80;;;;;;;;
19604.0;19679.0;19493;4.3;;;;;;;;;;;
;19820;;;;;80;;;;;;;;
