HORIZONTAL;;;;;;;;VERTICAL;;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);;
17103;17153;;;50;TRANS;;;;;;;;;
17153;17223;;;71;-75;35;;;;;;;;
17223;17273;;;50;TRANS;;;;;;;;;
17273;17446;;;173;INFINITY;80;;;;;;;;
17446;17466;;;20;TRANS;;;;;;;;;
17466;17505;;;39;505;50;;;;;;;;
17505;17525;;;20;TRANS;;;;;;;;;
17525;;;;1548;INFINITY;80;;;;;;;;
18399.5;18474.5;18437;4.2;;;;;;;;;;;
;19073;;;;;80;;;;;;;;
19073;19138;;;65;TRANS;;;;;;;;;
19138;19300;;;162;-505;80;;;;;;;;
19300;19365;;;65;TRANS;;;;;;;;;
19365;;;;306;INFINITY;80;;;;;;;;
19455.5;19530.5;19493;4.3;;;;;;;;;;;
;19671;;;;;80;;;;;;;;
19671;19703;;;32;TRANS;;;;;;;;;
19703;19777;;;74;250;50;;;;;;;;
19777;19813;;;36;TRANS;;;;;;;;;
19813;20005;;;193;533.354;60;;;;;;;;
20005;20057;;;52;TRANS;;;;;;;;;
20057;20089;;;32;TRANS;;;;;;;;;
20089;20304;;;214;-800;70;;;;;;;;
20304;20324;;;20;TRANS;;;;;;;;;
20324;20461;;;137;-1019.561;70;;;;;;;;
20461;20481;;;20;TRANS;;;;;;;;;
20481;20644;;;164;-1505;80;;;;;;;;
20644;20669;;;25;TRANS;;;;;;;;;
20669;20849;;;180;INFINITY;80;;;;;;;;
20849;20874;;;25;TRANS;;;;;;;;;
20874;;;;126;-1505;80;;;;;;;;
20502.5;20577.5;20540;4.4;;;;;;;;;;;
;21000;;;;;80;;;;;;;;
21000;21025;;;25;TRANS;;;;;;;;;
21025;;;;179;INFINITY;80;;;;;;;;
21467.5;21542.5;21505;4.5;;;;;;;;;;;
;21204;;;;;80;;;;;;;;
21204;21255;;;51;TRANS;;;;;;;;;
21255;21397;;;142;605;80;;;;;;;;
21397;21448;;;51;TRANS;;;;;;;;;
21448;21605;;;156;INFINITY;80;;;;;;;;
21605;21657;;;52;TRANS;;;;;;;;;
21657;21714;;;57;-70;35;;;;;;;;
21714;21766;;;52;TRANS;;;;;;;;;
21766;21953;;;188;INFINITY;80;;;;;;;;
21953;22013;;;60;TRANS;;;;;;;;;
22013;22035;;;21;55;30;;;;;;;;
22035;22095;;;60;TRANS;;;;;;;;;
22095;22353;;;258;INFINITY;80;;;;;;;;
22353;22401;;;48;TRANS;;;;;;;;;
22401;22428;;;27;655;80;;;;;;;;
22428;22476;;;48;TRANS;;;;;;;;;
22476;22526;;;50;INFINITY;80;;;;;;;;
22526;22591;;;65;TRANS;;;;;;;;;
22591;22638;;;47;-505;80;;;;;;;;
22638;22703;;;65;TRANS;;;;;;;;;
22703;;;;361;INFINITY;;;;;;;;;
22782.5;22857.5;22820;IC5;;;;;;;;;;;
;23065;;;;;80;;;;;;;;
23065;23125;;;60;TRANS;;;;;;;;;
23125;23306;;;182;315;50;;;;;;;;
23306;23366;;;60;TRANS;;;;;;;;;
23366;23426;;;60;TRANS;;;;;;;;;
23426;23580;;;154;-312;50;;;;;;;;
23580;23640;;;60;TRANS;;;;;;;;;
23640;;;;460;INFINITY;80;;;;;;;;
25140.5;25215.5;25178;5.1;;;;;;;;;;;
;24100;;;;;80;;;;;;;;
24100;24120;;;20;TRANS;;;;;;;;;
24120;24485;;;365;2000;80;;;;;;;;
24485;24505;;;20;TRANS;;;;;;;;;
24505;24748;;;243;INFINITY;80;;;;;;;;
24748;24794;;;46;TRANS;;;;;;;;;
24794;24929;;;136;175;50;;;;;;;;
24929;24975;;;46;TRANS;;;;;;;;;
24975;25488;;;513;INFINITY;50;;;;;;;;
25488;25512;;;24;TRANS;;;;;;;;;
25512;25717;;;205;-355;50;;;;;;;;
25717;25741;;;24;TRANS;;;;;;;;;
25741;25795;;;54;TRANS;;;;;;;;;
25795;26025;;;230;175;50;;;;;;;;
26025;26079;;;54;TRANS;;;;;;;;;
26079;;;;503;INFINITY;80;;;;;;;;
26225.5;26300.5;26263;5.2;;;;;;;;;;;
;26581;;;;;80;;;;;;;;
26581;26635;;;54;TRANS;;;;;;;;;
26635;26732;;;97;-150;50;;;;;;;;
26732;26786;;;54;TRANS;;;;;;;;;
26786;27061;;;274;INFINITY;80;;;;;;;;
27061;27115;;;54;TRANS;;;;;;;;;
27115;27158;;;43;-150;50;;;;;;;;
27158;27212;;;54;TRANS;;;;;;;;;
27212;27527;;;315;INFINITY;80;;;;;;;;
27527;27605;;;78;TRANS;;;;;;;;;
27605;27641;;;35;205;50;;;;;;;;
27641;27719;;;78;TRANS;;;;;;;;;
27719;;;;1382;INFINITY;80;;;;;;;;
28183.5;28258.5;28221;5.3;;;;;;;;;;;
;29100;;;;;80;;;;;;;;
29100;29132;;;32;TRANS;;;;;;;;;
29132;29289;;;157;250;50;;;;;;;;
29289;29321;;;32;TRANS;;;;;;;;;
29321;29608;;;286;INFINITY;80;;;;;;;;
29608;29628;;;20;TRANS;;;;;;;;;
29628;29720;;;92;-1000;50;;;;;;;;
29720;29740;;;20;TRANS;;;;;;;;;
29740;;;;125;INFINITY;80;;;;;;;;
29769.5;29844.5;29807;5.4;;;;;;;;;;;
;29865;;;;;80;;;;;;;;
29865;29885;;;20;TRANS;;;;;;;;;
29885;30066;;;181;-505;50;;;;;;;;
30066;30086;;;20;TRANS;;;;;;;;;
30086;30242;;;156;INFINITY;80;;;;;;;;
30242;30280;;;38;TRANS;;;;;;;;;
30280;30324;;;44;-205;50;;;;;;;;
30324;30362;;;38;TRANS;;;;;;;;;
30362;30428;;;66;INFINITY;80;;;;;;;;
30428;30480;;;52;TRANS;;;;;;;;;
30480;30550;;;69;-100;40;;;;;;;;
30550;30602;;;52;TRANS;;;;;;;;;
30602;30715;;;114;INFINITY;80;;;;;;;;
30715;30755;;;40;TRANS;;;;;;;;;
30755;30834;;;78;70.12;30;;;;;;;;
30834;30874;;;40;TRANS;;;;;;;;;
30874;;;;500;INFINITY;80;;;;;;;;
30923.5;30998.5;30961;IC6;;;;;;;;;;;
;31374;;;;;80;;;;;;;;
;;;;;;;;;;;;;;
